policy,budget,mean,ci_low,ci_high,prompt_count
random,2,0.03121434636414051,0.03080346265497307,0.031636977912082025,60
random,4,0.06224497718115648,0.06180437597446144,0.06270950639930864,60
random,8,0.12463616542518138,0.1238805684571465,0.12545920964951315,60
random,12,0.18740118071436881,0.18644246678178508,0.18827883393814165,60
random,16,0.25022561053435005,0.24922706969082356,0.25125736818959316,60
training_popularity,2,0.16092584232489268,0.15779067267353336,0.16400037322814268,60
training_popularity,4,0.261782751729091,0.2547830264146129,0.26886606827999154,60
training_popularity,8,0.4022042840719223,0.3891057463859518,0.4151654992252588,60
training_popularity,12,0.4979766259590785,0.4815997741247217,0.5144000353539984,60
training_popularity,16,0.5765008926391602,0.5576958252117038,0.594517605068783,60
previous_layer_routes,2,0.031069059483706953,0.030526344700871656,0.03162284161740293,60
previous_layer_routes,4,0.060641974210739136,0.05982420423999429,0.06150364265156289,60
previous_layer_routes,8,0.12169700289765993,0.12023970276427766,0.1231345995919158,60
previous_layer_routes,12,0.3753686224420865,0.36775203893582026,0.3829563826819261,60
previous_layer_routes,16,0.5027666583657264,0.4891288476064801,0.5170905530452728,60
learned,2,0.2432198944191138,0.2423376493404309,0.24401319688806933,60
learned,4,0.470333727200826,0.4673963623121381,0.4730812639618913,60
learned,8,0.8053347547849019,0.7978138084957997,0.8129474281519652,60
learned,12,0.911970908443133,0.9055471515655518,0.9179687469204266,60
learned,16,0.9502252499262492,0.945760882894198,0.9544574819505215,60
oracle,2,0.25,0.25,0.25,60
oracle,4,0.5,0.5,0.5,60
oracle,8,1.0,1.0,1.0,60
oracle,12,1.0,1.0,1.0,60
oracle,16,1.0,1.0,1.0,60
